Job Title,Monthly Salary
Robotics / STEM Trainer,270000
HTML Developers - Freshers,35000
Java Developers - Freshers,40000
"Teachers - Pre-Primary and Primary (English, Mathematics, EVS and Computers)",25000
College Student,17500
Software Testers - Freshers,30000
Web Developer - Freshers,35000
Computer Operator and Data Entry - Freshers,15000
Back Office Assistant,18683.5
Customer Service Officer,25000
Recruiter,18500
Sales Advisor_ Work From Home,17500
Junior Python Developer,45000
Customer Support - Trainee,450000
Fresher KYC Verification Executive,20000
Trainee,500000
Chat Support Representative- Mohali,32500
"Fresher (ITI , Diploma or Any Degree)",13500
Python Intern Trainee,15250
Software Engineer Trainee - Freshers,30000
Programmer Trainee,35000
Quality Analyst,315000
Data Entry Operator,25000
Mobile App Developer - Freshers,50000
Mega Walk-in drive Customer Service Representative- Fresher's,15000
Python Developer Trainee,25000
Junior Data Scientist,375000
Digital Marketing - Freshers,40000
Receptionist,20000
Web Developer - Fresher,40000
Document verification (office Fresher Applied Now),16391.17
Graduate Trainee,40000
Internship JOB Opening for freshers,11500
Consultant Doctor,22500
Software Trainees,30000
Back Office Assistant,31000
Digital Marketing Intern,12500
Fresher - Malayalam,17436.37
Call Quality Analyst,450000
Marketing Intern,20000
Junior Engineers(Freshers),40000
Social Media Manager,35000
HR Assistant,13500
Digital Marketing Intern,3500
Fresh Graduates (Male),15000
Manager,200000
Freshers - Trainee,30000
Hiring Freshers for Bangalore Location ( Budget upto 45k inhand),40000
Phone Banking Officer,275000
"Trainee Engineer, Fresher",25000
Content Creator,45000
Social Media Manager,27242.865
Amazon Advertising Executive,15750
Software Engineer,50000
Administration/Office Manager,20000
Draftsman,40000
Documents verification,22500
Software Developer Fresher,50000
E-Commerce works agency with Amazon PPC Ad management,22903.55
Delivery Partner/Delivery Executive,32500
Store & Purchase Executive,30000
Account Executive,36000
Software Trainee,35000
Need female graduates to train school student in Bandel,16500
Billing Executive,18000
Hotel Management Trainee,25000
FACULTY WANTED - COMMERCE,31500
Project Manager,30000
Editor,50000
Front Office,22500
RTO Executive,18000
HR Co-ordinator,13500
Content Writers - Part Time,20000
Video Editor,6000
Delivery Partner/Delivery Executive,30000
